NUTS315CD,NUTS315NM,NUTS318CD,NUTS318NM,Column4,Column5,Column6,Column7,Column8,Column9,FID
UKK21,Bournemouth and Poole,UKK21,Bournemouth and Poole,,,,,,,1
UKK22,Dorset CC,UKK22,Dorset CC,,,,,,,2
UKK23,Somerset,UKK23,Somerset,,,,,,,3
UKK30,Cornwall and Isles of Scilly,UKK30,Cornwall and Isles of Scilly,,,,,,,4
UKK41,Plymouth,UKK41,Plymouth,,,,,,,5
UKK42,Torbay,UKK42,Torbay,,,,,,,6
UKK43,Devon CC,UKK43,Devon CC,,,,,,,7
UKL11,Isle of Anglesey,UKL11,Isle of Anglesey,,,,,,,8
UKL12,Gwynedd,UKL12,Gwynedd,,,,,,,9
UKL13,Conwy and Denbighshire,UKL13,Conwy and Denbighshire,,,,,,,10
UKL14,South West Wales,UKL14,South West Wales,,,,,,,11
UKL15,Central Valleys,UKL15,Central Valleys,,,,,,,12
UKL16,Gwent Valleys,UKL16,Gwent Valleys,,,,,,,13
UKL17,Bridgend and Neath Port Talbot,UKL17,Bridgend and Neath Port Talbot,,,,,,,14
UKL18,Swansea,UKL18,Swansea,,,,,,,15
UKL21,Monmouthshire and Newport,UKL21,Monmouthshire and Newport,,,,,,,16
UKL22,Cardiff and Vale of Glamorgan,UKL22,Cardiff and Vale of Glamorgan,,,,,,,17
UKL23,Flintshire and Wrexham,UKL23,Flintshire and Wrexham,,,,,,,18
UKL24,Powys,UKL24,Powys,,,,,,,19
UKM50,Aberdeen City and Aberdeenshire,UKM50,Aberdeen City and Aberdeenshire,,,,,,,20
UKM61,Caithness & Sutherland and Ross & Cromarty,UKM61,Caithness and Sutherland and Ross and Cromarty,,,,,,,21
UKM62,"Inverness & Nairn and Moray, Badenoch & Strathspey",UKM62,"Inverness and Nairn and Moray, Badenoch and Strathspey",,,,,,,22
UKM63,"Lochaber, Skye & Lochalsh, Arran & Cumbrae and Argyll & Bute",UKM63,"Lochaber, Skye and Lochalsh, Arran and Cumbrae and Argyll and Bute",,,,,,,23
UKM64,Eilean Siar (Western Isles),UKM64,Na h_Eileanan Siar,,,,,,,24
UKM65,Orkney Islands,UKM65,Orkney Islands,,,,,,,25
UKM66,Shetland Islands,UKM66,Shetland Islands,,,,,,,26
UKM21,Angus and Dundee City,UKM71,Angus and Dundee City,,,,,,,27
UKM22,Clackmannanshire and Fife,UKM72,Clackmannanshire and Fife,,,,,,,28
UKM23,East Lothian and Midlothian,UKM73,East Lothian and Midlothian,,,,,,,29
UKM25,"Edinburgh, City of",UKM75,City of Edinburgh,,,,,,,30
UKM26,Falkirk,UKM76,Falkirk,,,,,,,31
UKM27,Perth & Kinross and Stirling,UKM77,Perth and Kinross and Stirling,,,,,,,32
UKM28,West Lothian,UKM78,West Lothian,,,,,,,33
UKM31,"East Dunbartonshire, West Dunbartonshire and Helensburgh & Lomond",UKM81,"East Dunbartonshire, West Dunbartonshire and Helensburgh and Lomond",,,,,,,34
UKM34,Glasgow City,UKM82,Glasgow City,,,,,,,35
UKM35,"Inverclyde, East Renfrewshire and Renfrewshire",UKM83,"Inverclyde, East Renfrewshire and Renfrewshire",,,,,,,36
UKM36,North Lanarkshire,UKM84,North Lanarkshire,,,,,,,37
UKM24,Scottish Borders,UKM91,Scottish Borders,,,,,,,38
UKM32,Dumfries & Galloway,UKM92,Dumfries ans Galloway,,,,,,,39
UKM33,East Ayrshire and North Ayrshire mainland,UKM93,East Ayrshire and North Ayrshire mainland,,,,,,,40
UKM37,South Ayrshire,UKM94,South Ayrshire,,,,,,,41
UKM38,South Lanarkshire,UKM95,South Lanarkshire,,,,,,,42
UKN01,Belfast,UKN06,Belfast,,,,,,,43
UKN02,Outer Belfast,UKN06,Belfast,,,,,,,44
UKN02,Outer Belfast,UKN06,Belfast,,,,,,,45
UKN03,East of Northern Ireland,UKN07,"Armagh City, Banbridge and Craigavon",,,,,,,46
UKN05,West and South of Northern Ireland,UKN07,"Armagh City, Banbridge and Craigavon",,,,,,,47
UKN03,East of Northern Ireland,UKN08,"Newry, Mourne and Down",,,,,,,48
UKN05,West and South of Northern Ireland,UKN08,"Newry, Mourne and Down",,,,,,,49
UKN02,Outer Belfast,UKN09,Ards and North Down,,,,,,,50
UKN03,East of Northern Ireland,UKN09,Ards and North Down,,,,,,,51
UKN04,North of Northern Ireland,UKN10,Derry City and Strabane,,,,,,,52
UKN05,West and South of Northern Ireland,UKN11,Mid Ulster,,,,,,,53
UKN04,North of Northern Ireland,UKN12,Causeway Coast and Glens,,,,,,,54
UKN02,Outer Belfast,UKN13,Antrim and Newtownabbey,,,,,,,55
UKN03,East of Northern Ireland,UKN13,Antrim and Newtownabbey,,,,,,,56
UKN01,Belfast,UKN14,Lisburn and Castlereagh,,,,,,,57
UKN02,Outer Belfast,UKN14,Lisburn and Castlereagh,,,,,,,58
UKN02,Outer Belfast,UKN15,Mid and East Antrim,,,,,,,59
UKN03,East of Northern Ireland,UKN15,Mid and East Antrim,,,,,,,60
UKN05,West and South of Northern Ireland,UKN16,Fermanagh and Omagh,,,,,,,61
UKC11,Hartlepool and Stockton-on-Tees,UKC11,Hartlepool and Stockton-on-Tees,,,,,,,62
UKH11,Peterborough,UKH11,Peterborough,,,,,,,63
UKH12,Cambridgeshire CC,UKH12,Cambridgeshire CC,,,,,,,64
UKH14,Suffolk,UKH14,Suffolk,,,,,,,65
UKH15,Norwich and East Norfolk,UKH15,Norwich and East Norfolk,,,,,,,66
UKH16,North and West Norfolk,UKH16,North and West Norfolk,,,,,,,67
UKH17,Breckland and South Norfolk,UKH17,Breckland and South Norfolk,,,,,,,68
UKH21,Luton,UKH21,Luton,,,,,,,69
